email,prenom,nom,entreprise,segment,source,base_legale,domaine_site,opt_in_pending,notes
info@akb.ch,,,Aargauische Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,akb.ch,yes,banque cantonale AG
compliance@akb.ch,,,Aargauische Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,akb.ch,yes,banque cantonale AG
info@appkb.ch,,,Appenzeller Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,appkb.ch,yes,banque cantonale AI
info@bancastato.ch,,,Banca dello Stato del Cantone Ticino,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bancastato.ch,yes,banque cantonale TI
info@bcf.ch,,,Banque Cantonale de Fribourg,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bcf.ch,yes,banque cantonale FR
info@bcge.ch,,,Banque Cantonale de Genève,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bcge.ch,yes,banque cantonale GE
compliance@bcge.ch,,,Banque Cantonale de Genève,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bcge.ch,yes,banque cantonale GE
info@bcj.ch,,,Banque Cantonale du Jura,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bcj.ch,yes,banque cantonale JU
info@bcvs.ch,,,Banque Cantonale du Valais,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bcvs.ch,yes,banque cantonale VS
info@bcn.ch,,,Banque Cantonale Neuchâteloise,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bcn.ch,yes,banque cantonale NE
info@bcv.ch,,,Banque Cantonale Vaudoise,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bcv.ch,yes,banque cantonale VD
compliance@bcv.ch,,,Banque Cantonale Vaudoise,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bcv.ch,yes,banque cantonale VD
info@blkb.ch,,,Basellandschaftliche Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,blkb.ch,yes,banque cantonale BL
info@bkb.ch,,,Basler Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bkb.ch,yes,banque cantonale BS
info@bekb.ch,,,Berner Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,bekb.ch,yes,banque cantonale BE
info@glkb.ch,,,Glarner Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,glkb.ch,yes,banque cantonale GL
info@gkb.ch,,,Graubündner Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,gkb.ch,yes,banque cantonale GR
info@lukb.ch,,,Luzerner Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,lukb.ch,yes,banque cantonale LU
info@nkb.ch,,,Nidwaldner Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,nkb.ch,yes,banque cantonale NW
info@owkb.ch,,,Obwaldner Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,owkb.ch,yes,banque cantonale OW
info@shkb.ch,,,Schaffhauser Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,shkb.ch,yes,banque cantonale SH
info@szkb.ch,,,Schwyzer Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,szkb.ch,yes,banque cantonale SZ
info@sgkb.ch,,,St. Galler Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,sgkb.ch,yes,banque cantonale SG
info@tkb.ch,,,Thurgauer Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,tkb.ch,yes,banque cantonale TG
info@urkb.ch,,,Urner Kantonalbank,compliance_bank,FINMA-banques,interet_legitime_B2B_fonction_publique,urkb.ch,yes,banque cantonale UR
