email,prenom,nom,entreprise,segment,source,base_legale,domaine_site,opt_in_pending,notes
info@gfms.com,,,GF Machining Solutions,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,gfms.com,yes,EDM/fraisage haute précision exportateur
info@georgfischer.com,,,Georg Fischer,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,georgfischer.com,yes,Pipelines/manufacturing/machinery exportateur
info@buhlergroup.com,,,Bühler Group,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,buhlergroup.com,yes,Plant equipment manufacturer
info@schindler.com,,,Schindler Group,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,schindler.com,yes,Escalators/elevators
info@rieter.com,,,Rieter,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,rieter.com,yes,Textile machinery
info@mt.com,,,Mettler Toledo,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,mt.com,yes,Scientific instruments
info@leica-geosystems.com,,,Leica Geosystems,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,leica-geosystems.com,yes,Surveying equipment
info@burckhardt.com,,,Burckhardt Compression,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,burckhardt.com,yes,Reciprocating compressor
info@staubli.com,,,Stäubli,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,staubli.com,yes,Textile machinery/connectors/robotics
info@kudelski.com,,,Kudelski Group,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,kudelski.com,yes,Electronic media systems
info@tornos.com,,,Tornos SA,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,tornos.com,yes,Machine-outils décolletage
info@mikron.com,,,Mikron Switzerland AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,mikron.com,yes,Machines transfert/assemblage horlogerie
info@mikrontool.com,,,Mikron Tool,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,mikrontool.com,yes,Outils coupe précision
info@fehlmann.ch,,,Fehlmann AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,fehlmann.ch,yes,Fraiseuses haute précision
info@precitrame.com,,,Precitrame Machines SA,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,precitrame.com,yes,Centres usinage horlogerie/médical
info@starrag.com,,,Starrag Group,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,starrag.com,yes,Machine-outils précision
info@mz-lw.ch,,,MONNIER + ZAHNER AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,mz-lw.ch,yes,Machines décolletage
info@urma.ch,,,URMA AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,urma.ch,yes,Outils précision alésage
info@blaser.com,,,Blaser Swisslube AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,blaser.com,yes,Lubrifiants industriels
info@agathon.ch,,,Agathon AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,agathon.ch,yes,Outils précision/guides linéaires
info@heule.com,,,HEULE Precision Tools,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,heule.com,yes,Outils ébavurage
info@sphinx-tools.ch,,,Sphinx Tools Ltd.,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,sphinx-tools.ch,yes,Micro-outils précision
info@reiden.ch,,,Reiden Technik AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,reiden.ch,yes,Centres usinage 5-axes
info@triag.ch,,,Triag International AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,triag.ch,yes,Systèmes serrage CNC
info@motorex.com,,,MOTOREX AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,motorex.com,yes,Lubrifiants industriels
info@affolter.ch,,,Affolter Group SA,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,affolter.ch,yes,Machines tailler engrenages
info@kunz-precision.ch,,,Kunz precision AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,kunz-precision.ch,yes,Composants précision
info@bernex.com,,,IHI-Bernex AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,bernex.com,yes,Traitements thermochimiques
info@regofix.com,,,REGO-FIX Switzerland,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,regofix.com,yes,Systèmes serrage outils
info@studer.com,,,Fritz Studer AG,pme_exportatrice,swissmem,interet_legitime_B2B_email_public,studer.com,yes,Rectifieuses cylindriques
info@abarisk.ch,,,ABARISK SA,pme_exportatrice,gim,interet_legitime_B2B_email_public,abarisk.ch,yes,Mécanique précision GIM
