email,prenom,nom,entreprise,segment,source,base_legale,domaine_site,opt_in_pending,notes
info@akb.ch,,,Aargauische Kantonalbank,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,akb.ch,yes,Banque cantonale Argovie - data ETL pertinente pour reporting AML
info@acrevis.ch,,,acrevis Bank,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,acrevis.ch,yes,Banque regionale St-Gall - cible reporting reglementaire
info@aekbank.ch,,,AEK Bank 1826,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,aekbank.ch,yes,Banque regionale BE - donnees federales utiles
info@alpharheintalbank.ch,,,Alpha RHEINTAL Bank,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,alpharheintalbank.ch,yes,Banque regionale SG - cible compliance
info@aminagroup.com,,,AMINA Bank,bank_private,swissbanking,interet_legitime_B2B_email_public,aminagroup.com,yes,Banque crypto-friendly FINMA - cible reporting digital assets
info@appkb.ch,,,Appenzeller Kantonalbank,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,appkb.ch,yes,Banque cantonale AR - donnees BFS pertinentes
info@aquila.ch,,,Aquila,bank_private,swissbanking,interet_legitime_B2B_email_public,aquila.ch,yes,Plateforme gestionnaires de fortune - cible directe ETL federal
info@arabbank.ch,,,Arab Bank Switzerland,bank_private,swissbanking,interet_legitime_B2B_email_public,arabbank.ch,yes,Banque privee internationale ZH
info@axionbank.ch,,,Axion Swiss Bank,bank_private,swissbanking,interet_legitime_B2B_email_public,axionbank.ch,yes,Banque privee Tessin
info@baloise.ch,,,Baloise Bank,bank_private,swissbanking,interet_legitime_B2B_email_public,baloise.ch,yes,Bancassurance - cible compliance assurance et bancaire
info@credinvest.ch,,,Banca Credinvest,bank_private,swissbanking,interet_legitime_B2B_email_public,credinvest.ch,yes,Banque privee Lugano
info@bancadelsempione.ch,,,Banca del Sempione,bank_private,swissbanking,interet_legitime_B2B_email_public,bancadelsempione.ch,yes,Banque privee Tessin
info@bancastato.ch,,,Banca dello Stato del Cantone Ticino,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,bancastato.ch,yes,Banque cantonale TI - donnees federales+cantonales pertinentes
info@bank-avera.ch,,,Bank Avera,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,bank-avera.ch,yes,Banque regionale ZH
info@bankbsu.ch,,,Bank BSU,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,bankbsu.ch,yes,Banque regionale Uster
info@cic.ch,,,Bank CIC Schweiz,bank_private,swissbanking,interet_legitime_B2B_email_public,cic.ch,yes,Banque commerciale BS - cible reporting compliance
info@cler.ch,,,Bank Cler,bank_private,swissbanking,interet_legitime_B2B_email_public,cler.ch,yes,Banque retail filiale BKB
info@eek.ch,,,Bank EEK,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,eek.ch,yes,Caisse epargne BE
info@jsafrasarasin.ch,,,Bank J Safra Sarasin,bank_private,swissbanking,interet_legitime_B2B_email_public,jsafrasarasin.ch,yes,Banque privee internationale BS
info@juliusbaer.ch,,,Bank Julius Baer,bank_private,swissbanking,interet_legitime_B2B_email_public,juliusbaer.ch,yes,Banque privee internationale - tres gros volumes ETL
info@bankslm.ch,,,Bank SLM,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,bankslm.ch,yes,Banque regionale BE
info@bankthalwil.ch,,,Bank Thalwil,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,bankthalwil.ch,yes,Banque regionale ZH
info@bankvonroll.ch,,,Bank von Roll,bank_private,swissbanking,interet_legitime_B2B_email_public,bankvonroll.ch,yes,Banque privee ZH
info@vontobel.com,,,Vontobel,bank_private,swissbanking,interet_legitime_B2B_email_public,vontobel.com,yes,Asset/Wealth Management ZH - cible majeur ETL federal
info@bankzweiplus.ch,,,Bank Zweiplus,bank_private,swissbanking,interet_legitime_B2B_email_public,bankzweiplus.ch,yes,Plateforme gestion fortune ZH
info@bonhote.ch,,,Banque Bonhote,bank_private,swissbanking,interet_legitime_B2B_email_public,bonhote.ch,yes,Banque privee NE
info@fkb.ch,,,Banque Cantonale Fribourg,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,fkb.ch,yes,Banque cantonale FR
info@bcge.ch,,,Banque Cantonale Geneve,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,bcge.ch,yes,Banque cantonale GE - cible majeur ETL federal cantons
info@bcv.ch,,,Banque Cantonale Vaudoise,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,bcv.ch,yes,Banque cantonale VD - cible majeur ETL federal cantons
info@banquecramer.ch,,,Banque Cramer,bank_private,swissbanking,interet_legitime_B2B_email_public,banquecramer.ch,yes,Banque privee GE
info@banque-es.ch,,,Banque Eric Sturdza,bank_private,swissbanking,interet_legitime_B2B_email_public,banque-es.ch,yes,Banque privee GE
info@heritage.ch,,,Banque Heritage,bank_private,swissbanking,interet_legitime_B2B_email_public,heritage.ch,yes,Banque privee GE
info@lombardodier.com,,,Banque Lombard Odier,bank_private,swissbanking,interet_legitime_B2B_email_public,lombardodier.com,yes,Banque privee historique GE - membre ABPS
info@group.pictet,,,Banque Pictet,bank_private,swissbanking,interet_legitime_B2B_email_public,group.pictet,yes,Banque privee historique GE - membre ABPS
info@syzgroup.com,,,Banque SYZ,bank_private,swissbanking,interet_legitime_B2B_email_public,syzgroup.com,yes,Banque privee GE
info@blkb.ch,,,Basellandschaftliche Kantonalbank,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,blkb.ch,yes,Banque cantonale BL
info@bkb.ch,,,Basler Kantonalbank,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,bkb.ch,yes,Banque cantonale BS
info@bekb.ch,,,BEKB Berner Kantonalbank,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,bekb.ch,yes,Banque cantonale BE - tres gros volumes
info@bernerlandbank.ch,,,Bernerland Bank,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,bernerlandbank.ch,yes,Banque regionale BE
info@bnpparibas.ch,,,BNP Paribas Suisse,bank_private,swissbanking,interet_legitime_B2B_email_public,bnpparibas.ch,yes,Banque internationale ZH
info@bordier.com,,,Bordier et Cie,bank_private,swissbanking,interet_legitime_B2B_email_public,bordier.com,yes,Banque privee historique GE - membre ABPS
info@bxswiss.com,,,BX Swiss,bank_private,swissbanking,interet_legitime_B2B_email_public,bxswiss.com,yes,Bourse suisse alternative
info@cembra.ch,,,Cembra Money Bank,bank_private,swissbanking,interet_legitime_B2B_email_public,cembra.ch,yes,Banque conso credit ZH
info@clientis.ch,,,Clientis,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,clientis.ch,yes,Groupe banques regionales
info@commerzbank.ch,,,Commerzbank Schweiz,bank_private,swissbanking,interet_legitime_B2B_email_public,commerzbank.ch,yes,Banque commerciale internationale
info@corner.ch,,,Corner Banca,bank_private,swissbanking,interet_legitime_B2B_email_public,corner.ch,yes,Banque privee TI
info@cryptofinance.ch,,,Crypto Finance,fintech_data,swissbanking,interet_legitime_B2B_email_public,cryptofinance.ch,yes,FINMA-licenced crypto - cible Sygnum/AMINA-style
info@dukascopy.com,,,Dukascopy Bank,bank_private,swissbanking,interet_legitime_B2B_email_public,dukascopy.com,yes,Banque trading retail GE
info@efgbank.com,,,EFG Bank,bank_private,swissbanking,interet_legitime_B2B_email_public,efgbank.com,yes,Banque privee internationale ZH
info@gkb.ch,,,Graubuendner Kantonalbank,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,gkb.ch,yes,Banque cantonale GR
info@lukb.ch,,,Luzerner Kantonalbank,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,lukb.ch,yes,Banque cantonale LU
info@migrosbank.ch,,,Migros Bank,bank_private,swissbanking,interet_legitime_B2B_email_public,migrosbank.ch,yes,Banque retail nationale
info@postfinance.ch,,,PostFinance,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,postfinance.ch,yes,Banque postale federale - tres gros consommateur ETL federal
info@raiffeisen.ch,,,Raiffeisen Schweiz,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,raiffeisen.ch,yes,Groupe Raiffeisen 218 banques cooperatives
info@six-group.com,,,SIX Group,bank_private,swissbanking,interet_legitime_B2B_email_public,six-group.com,yes,Infrastructure marche financier suisse
info@ubs.com,,,UBS Switzerland,bank_private,swissbanking,interet_legitime_B2B_email_public,ubs.com,yes,Premiere banque suisse - tres gros consommateur ETL
info@zkb.ch,,,Zurcher Kantonalbank,bank_cantonal,swissbanking,interet_legitime_B2B_email_public,zkb.ch,yes,Banque cantonale ZH - tres gros consommateur ETL federal
info@gutzwiller.ch,,,E Gutzwiller et Cie Banquiers,bank_private,swissbanking,interet_legitime_B2B_email_public,gutzwiller.ch,yes,Banquier prive Bale - membre ABPS
info@mirabaud.com,,,Mirabaud,bank_private,swissbanking,interet_legitime_B2B_email_public,mirabaud.com,yes,Banque privee historique GE - membre ABPS
info@rahnbodmer.ch,,,Rahn Bodmer Co,bank_private,swissbanking,interet_legitime_B2B_email_public,rahnbodmer.ch,yes,Banquier prive ZH - membre ABPS
info@reichmuthco.ch,,,Reichmuth Co Privatbankiers,bank_private,swissbanking,interet_legitime_B2B_email_public,reichmuthco.ch,yes,Banquier prive LU - membre ABPS
info@21analytics.ch,,,21 Analytics,fintech_data,SFTA-membres,interet_legitime_B2B_email_public,21analytics.ch,yes,Banking infra - reporting reglementaire
info@21.finance,,,21finance,fintech_data,SFTA-membres,interet_legitime_B2B_email_public,21.finance,yes,Banking infra digital
info@21shares.com,,,21Shares,fintech_wealth,SFTA-membres,interet_legitime_B2B_email_public,21shares.com,yes,Crypto ETPs - reporting fiscal et reglementaire
info@3rd-eyes.com,,,3rd-eyes analytics,fintech_wealth,SFTA-membres,interet_legitime_B2B_email_public,3rd-eyes.com,yes,Wealth analytics - cible donnees BFS/SECO
info@abrantix.com,,,Abrantix,fintech_payments,SFTA-membres,interet_legitime_B2B_email_public,abrantix.com,yes,Payment terminals & POS testing
info@accounto.ch,,,Accounto,fintech_data,SFTA-membres,interet_legitime_B2B_email_public,accounto.ch,yes,Comptabilite automatisee PME suisses
info@acredius.ch,,,Acredius,fintech_payments,SFTA-membres,interet_legitime_B2B_email_public,acredius.ch,yes,Plateforme prets PME
info@actusag.ch,,,Actus AG,fintech_data,SFTA-membres,interet_legitime_B2B_email_public,actusag.ch,yes,Banking infrastructure
info@additiv.com,,,additiv,fintech_data,SFTA-membres,interet_legitime_B2B_email_public,additiv.com,yes,Embedded finance platform - reseau B2B large
info@adviscent.com,,,Adviscent,fintech_wealth,SFTA-membres,interet_legitime_B2B_email_public,adviscent.com,yes,Investment content & insights pour banques
info@aequitec.com,,,Aequitec,fintech_wealth,SFTA-membres,interet_legitime_B2B_email_public,aequitec.com,yes,Cap table digital
info@aionite.com,,,Aionite Capital,fintech_wealth,SFTA-membres,interet_legitime_B2B_email_public,aionite.com,yes,Investment management
info@aisot.io,,,Aisot,fintech_wealth,SFTA-membres,interet_legitime_B2B_email_public,aisot.io,yes,AI for asset managers - cible directe data feeds
info@aixigo.com,,,aixigo,fintech_wealth,SFTA-membres,interet_legitime_B2B_email_public,aixigo.com,yes,Wealth tech platform pour banques
info@apiax.com,,,Apiax,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,apiax.com,yes,Regtech compliance regles digitales - cible directe
info@netguardians.com,,,NetGuardians,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,netguardians.com,yes,AI fraud prevention 80+ banques
info@avaloq.com,,,Avaloq,fintech_data,fintechnewsch,interet_legitime_B2B_email_public,avaloq.com,yes,Core banking software - cible majeure
