source_scheme,source_code,target_scheme,target_code,relation,source_id
NACE_2.0,01,ISIC_4,01,closeMatch,eurostat-nace2-isic4
NACE_2.0,011,ISIC_4,011,closeMatch,eurostat-nace2-isic4
NACE_2.0,0111,ISIC_4,0111,closeMatch,eurostat-nace2-isic4
NACE_2.0,0112,ISIC_4,0112,closeMatch,eurostat-nace2-isic4
NACE_2.0,0113,ISIC_4,0113,closeMatch,eurostat-nace2-isic4
NACE_2.0,0114,ISIC_4,0114,closeMatch,eurostat-nace2-isic4
NACE_2.0,0115,ISIC_4,0115,closeMatch,eurostat-nace2-isic4
NACE_2.0,0116,ISIC_4,0116,closeMatch,eurostat-nace2-isic4
NACE_2.0,0119,ISIC_4,0119,closeMatch,eurostat-nace2-isic4
NACE_2.0,012,ISIC_4,012,closeMatch,eurostat-nace2-isic4
NACE_2.0,0121,ISIC_4,0121,closeMatch,eurostat-nace2-isic4
NACE_2.0,0122,ISIC_4,0122,closeMatch,eurostat-nace2-isic4
NACE_2.0,0123,ISIC_4,0123,closeMatch,eurostat-nace2-isic4
NACE_2.0,0124,ISIC_4,0124,closeMatch,eurostat-nace2-isic4
NACE_2.0,0125,ISIC_4,0125,closeMatch,eurostat-nace2-isic4
NACE_2.0,0126,ISIC_4,0126,closeMatch,eurostat-nace2-isic4
NACE_2.0,0127,ISIC_4,0127,closeMatch,eurostat-nace2-isic4
NACE_2.0,0128,ISIC_4,0128,closeMatch,eurostat-nace2-isic4
NACE_2.0,0129,ISIC_4,0129,closeMatch,eurostat-nace2-isic4
NACE_2.0,013,ISIC_4,013,closeMatch,eurostat-nace2-isic4
NACE_2.0,0130,ISIC_4,0130,closeMatch,eurostat-nace2-isic4
NACE_2.0,014,ISIC_4,014,closeMatch,eurostat-nace2-isic4
NACE_2.0,0141,ISIC_4,0141,closeMatch,eurostat-nace2-isic4
NACE_2.0,0142,ISIC_4,0141,closeMatch,eurostat-nace2-isic4
NACE_2.0,0143,ISIC_4,0142,closeMatch,eurostat-nace2-isic4
NACE_2.0,0144,ISIC_4,0143,closeMatch,eurostat-nace2-isic4
NACE_2.0,0145,ISIC_4,0144,closeMatch,eurostat-nace2-isic4
NACE_2.0,0146,ISIC_4,0145,closeMatch,eurostat-nace2-isic4
NACE_2.0,0147,ISIC_4,0146,closeMatch,eurostat-nace2-isic4
NACE_2.0,0149,ISIC_4,0149,closeMatch,eurostat-nace2-isic4
NACE_2.0,015,ISIC_4,015,closeMatch,eurostat-nace2-isic4
NACE_2.0,0150,ISIC_4,0150,closeMatch,eurostat-nace2-isic4
NACE_2.0,016,ISIC_4,016,closeMatch,eurostat-nace2-isic4
NACE_2.0,0161,ISIC_4,0161,closeMatch,eurostat-nace2-isic4
NACE_2.0,0162,ISIC_4,0162,closeMatch,eurostat-nace2-isic4
NACE_2.0,0163,ISIC_4,0163,closeMatch,eurostat-nace2-isic4
NACE_2.0,0164,ISIC_4,0164,closeMatch,eurostat-nace2-isic4
NACE_2.0,017,ISIC_4,017,closeMatch,eurostat-nace2-isic4
NACE_2.0,0170,ISIC_4,0170,closeMatch,eurostat-nace2-isic4
NACE_2.0,02,ISIC_4,02,closeMatch,eurostat-nace2-isic4
NACE_2.0,021,ISIC_4,021,closeMatch,eurostat-nace2-isic4
NACE_2.0,0210,ISIC_4,0210,closeMatch,eurostat-nace2-isic4
