noga_2008,noga_2025,nace_2_0,nace_2_1,isic_4,mapping_type,notes
,,01,,01,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,011,,011,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0111,,0111,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0112,,0112,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0113,,0113,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0114,,0114,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0115,,0115,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0116,,0116,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0119,,0119,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,012,,012,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0121,,0121,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0122,,0122,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0123,,0123,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0124,,0124,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0125,,0125,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0126,,0126,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0127,,0127,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0128,,0128,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0129,,0129,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,013,,013,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0130,,0130,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,014,,014,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0141,,0141,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0142,,0141,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0143,,0142,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0144,,0143,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0145,,0144,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0146,,0145,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0147,,0146,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0149,,0149,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,015,,015,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0150,,0150,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,016,,016,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0161,,0161,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0162,,0162,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0163,,0163,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0164,,0164,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,017,,017,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0170,,0170,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,02,,02,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,021,,021,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0210,,0210,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,022,,022,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0220,,0220,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,023,,023,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0230,,0230,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,024,,024,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0240,,0240,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,03,,03,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,031,,031,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0311,,0311,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0312,,0312,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,032,,032,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0321,,0321,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0322,,0322,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,05,,05,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,051,,051,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0510,,0510,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,052,,052,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0520,,0520,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,06,,06,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,061,,061,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0610,,0610,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,062,,062,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0620,,0620,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,07,,07,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,071,,071,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0710,,0710,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,072,,072,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0721,,0721,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0729,,0729,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,08,,08,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,081,,081,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0811,,0810,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0812,,0810,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,089,,089,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0891,,0891,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
,,0892,,0892,partial,NACE_2.0 → ISIC_4 ; closeMatch ; source=eurostat-nace2-isic4. Validation métier requise ; aucune équivalence exacte affirmée.
