entity_type,name,uid,lei,licence_type,licence_type_de,licence_type_fr,licence_type_it,licence_date,status,canton,city,address,source_list,source_url,is_warning_listed
insurance,AXA Leben AG,CHE-103.137.179,,Life insurance company,Lebensversicherer,Assureur-vie,Assicurazione vita,,,,Winterthur,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Schweizerische Mobiliar Lebensversicherungs-Gesellschaft AG,CHE-106.000.068,,Life insurance company,Lebensversicherer,Assureur-vie,Assicurazione vita,,,,Bern,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Swiss Life AG,CHE-105.928.677,,Life insurance company,Lebensversicherer,Assureur-vie,Assicurazione vita,,,,Zürich,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Zürich Lebensversicherungs-Gesellschaft AG,CHE-100.023.846,,Life insurance company,Lebensversicherer,Assureur-vie,Assicurazione vita,,,,Zürich,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Zürich Lebensversicherungs-Gesellschaft AG,CHE-100.023.846,,Insurance activities through the free provision of services in Liechtenstein,Versicherungstätigkeit im freien Dienstleistungsverkehr im FL,Activité d’assurance en libre circulation des services dans la Principauté de Liechtenstein,Attività assicurativa nell’ambito della libera circolazione dei servizi nel Principato del Liechtenstein,,,,Zürich,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,AXA Versicherungen AG,CHE-105.788.896,,Non-life insurer,Schadenversicherer,Assureur dommage,Assicurazione danni,,,,Winterthur,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Schweizerische Mobiliar Versicherungsgesellschaft AG,CHE-105.961.835,,Non-life insurer,Schadenversicherer,Assureur dommage,Assicurazione danni,,,,Bern,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Baloise Versicherung AG,CHE-105.805.649,,Non-life insurer,Schadenversicherer,Assureur dommage,Assicurazione danni,,,,Basel,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Zürich Versicherungs-Gesellschaft AG,CHE-105.833.114,,Non-life insurer,Schadenversicherer,Assureur dommage,Assicurazione danni,,,,Zürich,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Schweizerische Rückversicherungs-Gesellschaft AG,CHE-102.979.129,,Professional reinsurer,Professioneller Rückversicherer,Réassureur professionnel,riassicurazione,,,,Zürich,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Visana Versicherungen AG,CHE-107.990.061,,Health insurance company under ICA,Krankenversicherer,Assureur-maladie,Assicurazione contro le malattie LCA,,,,Bern 16,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Baloise Leben AG,CHE-101.305.342,,Life insurance company,Lebensversicherer,Assureur-vie,Assicurazione vita,,,,Basel,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Helvetia Schweizerische Versicherungsgesellschaft AG,CHE-101.400.176,,Non-life insurer,Schadenversicherer,Assureur dommage,Assicurazione danni,,,,St. Gallen,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,CSS Versicherung AG,CHE-106.083.195,,Health insurance company under ICA,Krankenversicherer,Assureur-maladie,Assicurazione contro le malattie LCA,,,,Luzern,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
insurance,Helvetia Schweizerische Lebensversicherungsgesellschaft AG,CHE-100.912.410,,Life insurance company,Lebensversicherer,Assureur-vie,Assicurazione vita,,,,Basel,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
