name,country,date_added,category,source_url,source_list,warning_type,additional_info
cornerstone-capital.ch,,2026-04-29,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/cornerstone-capital_ch/,finma-warnings,unauthorized_provider,cornerstone-capital_ch
AmbFx / ambinvestments.co,,2026-04-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/ambfx---ambinvestments_co/,finma-warnings,unauthorized_provider,ambfx---ambinvestments_co
Tradock / tradock.me,,2026-04-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/tradock---tradock_me/,finma-warnings,unauthorized_provider,tradock---tradock_me
unitedconsultingtrust-ag.com,,2026-04-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/unitedconsultingtrust-ag_com/,finma-warnings,unauthorized_provider,unitedconsultingtrust-ag_com
lincolninvest-ag.com,,2026-04-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/lincolninvest-ag_com/,finma-warnings,unauthorized_provider,lincolninvest-ag_com
vermögens-center.com,,2026-04-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/vermoegens-center_com/,finma-warnings,unauthorized_provider,vermoegens-center_com
atticus-am.com,,2026-04-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/atticus-am_com/,finma-warnings,unauthorized_provider,atticus-am_com
re-investment.ch,,2026-04-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/re-investment_ch/,finma-warnings,unauthorized_provider,re-investment_ch
GoldPro SA / goldpro.com,,2026-04-28,Negative list news,https://www.finma.ch/en/finma-public/warnungen/warning-list/goldpro-sa---goldpro_com/,finma-warnings,unauthorized_provider,goldpro-sa---goldpro_com
Velosir / velo-sir.com,,2026-04-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/velosir-velo-sir_com/,finma-warnings,unauthorized_provider,velosir-velo-sir_com
Future AU / future-au.com,,2026-04-27,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/future-au-future-au_com/,finma-warnings,unauthorized_provider,future-au-future-au_com
apollo-invest-sa.ch,,2026-04-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/apollo-invest-sa_ch/,finma-warnings,unauthorized_provider,apollo-invest-sa_ch
mamadvisors.ch,,2026-04-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/mamadvisors_ch/,finma-warnings,unauthorized_provider,mamadvisors_ch
bsfinanz.com,,2026-04-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/bsfinanz_com/,finma-warnings,unauthorized_provider,bsfinanz_com
WALTRAUD GROUP / waltraud-group.com,,2026-04-23,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/waltraud-group---waltraud-group_com/,finma-warnings,unauthorized_provider,waltraud-group---waltraud-group_com
Heidi Pfister,,2026-04-21,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/heidi-pfister/,finma-warnings,unauthorized_provider,heidi-pfister
Bitcoinch / bitcoinch.ai,,2026-04-21,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/bitcoinch/,finma-warnings,unauthorized_provider,bitcoinch
ameryssa.com,,2026-04-20,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/ameryssa_com/,finma-warnings,unauthorized_provider,ameryssa_com
