canton_code,canton_name,noga_division,noga_label,year,etablissements,emplois,emplois_eq_plein_temps
999,"Suisse",999,"Division économique - total",2023,721727,5644870,4379510
999,"Suisse",1,"01 Culture et production animale, chasse et services annexes",2023,48788,151762,99004
999,"Suisse",2,"02 Sylviculture et exploitation forestière",2023,1407,6515,5492
999,"Suisse",3,"03 Pêche et aquaculture",2023,177,555,473
999,"Suisse",5,"05 Extraction de houille et de lignite",2023,0,0,0
999,"Suisse",6,"06 Extraction d'hydrocarbures",2023,0,0,0
999,"Suisse",7,"07 Extraction de minerais métalliques",2023,0,0,0
999,"Suisse",8,"08 Autres industries extractives",2023,310,4699,4323
999,"Suisse",9,"09 Services de soutien aux industries extractives",2023,6,24,23
999,"Suisse",10,"10 Industries alimentaires",2023,4825,82778,70301
999,"Suisse",11,"11 Fabrication de boissons",2023,688,6821,5721
999,"Suisse",12,"12 Fabrication de produits à base de tabac",2023,17,2133,2064
999,"Suisse",13,"13 Fabrication de textiles",2023,825,6406,5417
999,"Suisse",14,"14 Industrie de l'habillement",2023,1696,5130,3837
999,"Suisse",15,"15 Industrie du cuir et de la chaussure",2023,320,2698,2335
999,"Suisse",16,"16 Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles, fabrication d'articles en vannerie et sparterie",2023,7068,39687,35533
999,"Suisse",17,"17 Industrie du papier et du carton",2023,189,6246,5805
999,"Suisse",18,"18 Imprimerie et reproduction d'enregistrements",2023,1788,14170,12166
999,"Suisse",19,"19 Cokéfaction et raffinage",2023,7,377,365
999,"Suisse",20,"20 Industrie chimique",2023,913,25750,23961
999,"Suisse",21,"21 Industrie pharmaceutique",2023,382,54820,52225
999,"Suisse",22,"22 Fabrication de produits en caoutchouc et en plastique",2023,712,22087,20419
999,"Suisse",23,"23 Fabrication d'autres produits minéraux non métalliques",2023,1438,16843,15522
999,"Suisse",24,"24 Métallurgie",2023,240,12619,12037
999,"Suisse",25,"25 Fabrication de produits métalliques, à l'exception des machines et des équipements",2023,7048,85088,77782
999,"Suisse",26,"26 Fabrication de produits informatiques, électroniques et optiques",2023,2133,120116,113073
999,"Suisse",27,"27 Fabrication d'équipements électriques",2023,852,27871,26039
999,"Suisse",28,"28 Fabrication de machines et équipements n.c.a.",2023,2015,79985,75365
999,"Suisse",29,"29 Industrie automobile",2023,239,4466,4151
999,"Suisse",30,"30 Fabrication d'autres matériels de transport",2023,288,12264,11616
999,"Suisse",31,"31 Fabrication de meubles",2023,905,9117,8272
999,"Suisse",32,"32 Autres industries manufacturières",2023,3745,29829,26430
999,"Suisse",33,"33 Réparation et installation de machines et d'équipements",2023,2832,21851,19828
999,"Suisse",35,"35 Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2023,1165,33211,29231
999,"Suisse",36,"36 Captage, traitement et distribution d'eau",2023,466,2914,2138
999,"Suisse",37,"37 Collecte et traitement des eaux usées",2023,669,5731,5167
999,"Suisse",38,"38 Collecte, traitement et élimination des déchets, récupération",2023,1057,13330,11718
999,"Suisse",39,"39 Dépollution et autres services de gestion des déchets",2023,37,201,173
999,"Suisse",41,"41 Construction de bâtiments",2023,9761,88475,81663
999,"Suisse",42,"42 Génie civil",2023,1147,24446,23129
999,"Suisse",43,"43 Travaux de construction spécialisés",2023,41442,255306,232494
999,"Suisse",45,"45 Commerce et réparation d'automobiles et de motocycles",2023,17449,90990,80371
999,"Suisse",46,"46 Commerce de gros, à l'exception des automobiles et des motocycles",2023,22545,226509,200140
999,"Suisse",47,"47 Commerce de détail, à l'exception des automobiles et des motocycles",2023,49321,312732,231959
999,"Suisse",49,"49 Transports terrestres et transport par conduites",2023,12523,135563,116447
999,"Suisse",50,"50 Transports par eau",2023,218,7576,6388
999,"Suisse",51,"51 Transports aériens",2023,204,12530,10556
999,"Suisse",52,"52 Entreposage et services auxiliaires des transports",2023,2481,66925,58828
999,"Suisse",53,"53 Activités de poste et de courrier",2023,2142,42537,31739
999,"Suisse",55,"55 Hébergement",2023,5729,79079,64932
999,"Suisse",56,"56 Restauration",2023,26675,189138,136911
999,"Suisse",58,"58 Édition",2023,1757,17963,13338
999,"Suisse",59,"59 Production de films cinématographiques, de vidéo et de programmes de télévision, enregistrement sonore et édition musicale",2023,4316,11626,7171
999,"Suisse",60,"60 Programmation et diffusion",2023,159,9718,7755
999,"Suisse",61,"61 Télécommunications",2023,950,25481,23609
999,"Suisse",62,"62 Programmation, conseil et autres activités informatiques",2023,19828,132212,116391
999,"Suisse",63,"63 Services d'information",2023,1344,11235,9584
999,"Suisse",64,"64 Activités des services financiers, hors assurance et caisses de retraite",2023,8496,126104,111455
999,"Suisse",65,"65 Assurance",2023,1170,53032,45190
999,"Suisse",66,"66 Activités auxiliaires de services financiers et d'assurance",2023,11123,84264,71891
999,"Suisse",68,"68 Activités immobilières",2023,20427,77057,46929
999,"Suisse",69,"69 Activités juridiques et comptables",2023,23187,90551,69766
999,"Suisse",70,"70 Activités des sièges sociaux, conseil de gestion",2023,28231,147940,123519
999,"Suisse",71,"71 Activités d'architecture et d'ingénierie, activités de contrôle et analyses techniques",2023,26139,148568,123111
999,"Suisse",72,"72 Recherche-développement scientifique",2023,2221,36678,32378
999,"Suisse",73,"73 Publicité et études de marché",2023,5233,25216,17405
999,"Suisse",74,"74 Autres activités spécialisées, scientifiques et techniques",2023,23261,40599,26246
999,"Suisse",75,"75 Activités vétérinaires",2023,1369,8930,6493
999,"Suisse",77,"77 Activités de location et location-bail",2023,2179,12748,10267
