scheme,code,level,parent,label_fr,label_de,label_it,label_en,label_es
NOGA_2008,01,division,A,"Culture et production animale, chasse et services annexes","Landwirtschaft, Jagd und damit verbundene Tätigkeiten","Produzioni vegetali e animali, caccia e servizi connessi","Crop and animal production, hunting and related service activities",
NOGA_2008,011,group,01,Cultures non permanentes,Anbau einjähriger Pflanzen,Coltivazione di colture agricole non permanenti,Growing of non-perennial crops,
NOGA_2008,0111,class,011,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten","Coltivazione di cereali (tranne il riso), legumi da granella e semi oleosi","Growing of cereals (except rice), leguminous crops and oil seeds",
NOGA_2008,011100,subclass,0111,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten","Coltivazione di cereali (tranne il riso), legumi da granella e semi oleosi","Growing of cereals (except rice), leguminous crops and oil seeds",
NOGA_2008,0112,class,011,Culture du riz,Anbau von Reis,Coltivazione del riso,Growing of rice,
NOGA_2008,011200,subclass,0112,Culture du riz,Anbau von Reis,Coltivazione del riso,Growing of rice,
NOGA_2008,0113,class,011,"Culture de légumes, de melons, de racines et de tubercules",Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,"Coltivazione di ortaggi e meloni, radici e tuberi","Growing of vegetables and melons, roots and tubers",
NOGA_2008,011300,subclass,0113,"Culture de légumes, de melons, de racines et de tubercules",Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,"Coltivazione di ortaggi e meloni, radici e tuberi","Growing of vegetables and melons, roots and tubers",
NOGA_2008,0114,class,011,Culture de la canne à sucre,Anbau von Zuckerrohr,Coltivazione di canna da zucchero,Growing of sugar cane,
NOGA_2008,011400,subclass,0114,Culture de la canne à sucre,Anbau von Zuckerrohr,Coltivazione di canna da zucchero,Growing of sugar cane,
NOGA_2025,01,division,A,"Culture et production animale, chasse et services annexes","Landwirtschaft, Jagd und damit verbundene Tätigkeiten","Produzioni vegetali e animali, caccia e servizi connessi","Crop and animal production, hunting and related service activities",
NOGA_2025,011,group,01,Cultures non permanentes,Anbau ein- und zweijähriger Pflanzen,Coltivazione di colture agricole non permanenti,Growing of non-perennial crops,
NOGA_2025,0111,class,011,"Culture de céréales, à l’exception du riz, de légumineuses et de graines oléagineuses",Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds",
NOGA_2025,011100,subclass,0111,"Culture de céréales, à l’exception du riz, de légumineuses et de graines oléagineuses",Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds",
NOGA_2025,0112,class,011,Culture du riz,Anbau von Reis,Coltivazione di riso,Growing of rice,
NOGA_2025,011200,subclass,0112,Culture du riz,Anbau von Reis,Coltivazione di riso,Growing of rice,
NOGA_2025,0113,class,011,"Culture de légumes, de melons, de racines et de tubercules",Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,"Coltivazione di ortaggi e meloni, radici e tuberi","Growing of vegetables and melons, roots and tubers",
NOGA_2025,011300,subclass,0113,"Culture de légumes, de melons, de racines et de tubercules",Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,"Coltivazione di ortaggi e meloni, radici e tuberi","Growing of vegetables and melons, roots and tubers",
NOGA_2025,0114,class,011,Culture de la canne à sucre,Anbau von Zuckerrohr,Coltivazione di canna da zucchero,Growing of sugar cane,
NOGA_2025,011400,subclass,0114,Culture de la canne à sucre,Anbau von Zuckerrohr,Coltivazione di canna da zucchero,Growing of sugar cane,
NACE_2.0,01,division,A,"Culture et production animale, chasse et services annexes","Landwirtschaft, Jagd und damit verbundene Tätigkeiten","Produzioni vegetali e animali, caccia e servizi connessi","Crop and animal production, hunting and related service activities",
NACE_2.0,011,group,01,01.1 Cultures non permanentes,01.1 Anbau einjähriger Pflanzen,01.1 Coltivazione di colture agricole non permanenti,01.1 Growing of non-perennial crops,
