hs8,hs6,chapter,heading,designation_fr,designation_de,designation_it,designation_en,unit_stat,duty_mfn_value,duty_mfn_unit,duty_mfn_currency,preferential_regimes,restrictions_codes,customs_relief_codes,valid_from,source_url
01012110,010121,1,0101,importés dans les limites du contingent tarifaire (c. n° 1),innerhalb des Zollkontingents (K-Nr. 1) eingeführt,importati nei limiti del contingente doganale (n. cont. 1),within the limits of the tariff quota (Q. No. 1),per 1 piece(s),120,par 1 pièce(s),CHF,"{""efta"":""free"",""pays_et_territoires_en_developpement"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""chili"":""free"",""japon"":""free"",""colombie"":""free"",""perou"":""free"",""costa_rica"":""free"",""chine_sans_hong_kong"":""free"",""georgie"":""free"",""inde"":""free"",""coree_sud"":""free""}",[],,2012-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=01012110
01022191,010221,1,0102,"de race brune, de race tachetée, de race Holstein","der Rassen Braunvieh, Fleckvieh, Holstein","delle razze bruna, chiazzata, Holstein","of brown, spotted or Holstein races",per 1 piece(s),1500,par 1 pièce(s),CHF,"{""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free""}",[],,2012-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=01022191
01031090,010310,1,0103,autres,andere,altri,other,per 1 piece(s),1000,par 1 pièce(s),CHF,"{""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free""}",[],"[""01""]",1995-07-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=01031090
01051500,010515,1,0105,pintades,Perlhühner,faraone,guinea fowls,per 100 kg gross,0,par 100 kg brut,CHF,"{""efta"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""chili"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""georgie"":""free"",""equateur"":""free"",""indonesie"":""free"",""inde"":""free"",""etats_unis"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2012-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=01051500
02011011,020110,2,0201,importées dans les limites du contingent tarifaire (c. n° 5),innerhalb des Zollkontingents (K-Nr. 5) eingeführt,importate nei limiti del contingente doganale (n. cont. 5),within the limits of the tariff quota (Q. No. 5),per 100 kg gross,94,par 100 kg brut,CHF,"{""efta"":85,""pays_et_territoires_en_developpement"":85,""union_douaniere_d_afrique_australe"":85,""pays_en_developpement_les_moins_avances"":""free"",""chili"":85,""lesotho"":""free"",""japon"":85,""colombie"":85,""ukraine"":85,""perou"":85,""chine_sans_hong_kong"":84.6,""georgie"":85,""moldova_republique_de"":84.6,""inde"":85,""etats_unis"":""free"",""coree_sud"":85}",[],,1995-07-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=02011011
02042190,020421,2,0204,autres,andere,altre,other,per 100 kg gross,845,par 100 kg brut,CHF,"{""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free""}",[],,1995-07-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=02042190
02071319,020713,2,0207,autres,andere,altri,other,per 100 kg gross,1581,par 100 kg brut,CHF,"{""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free""}",[],,1996-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=02071319
02076041,020760,2,0207,importées dans les limites du contingent tarifaire (c. n° 6),innerhalb des Zollkontingents (K-Nr. 6) eingeführt,importati nei limiti del contingente doganale (n. cont. 6),within the limits of the tariff quota (Q. No. 6),per 100 kg gross,30,par 100 kg brut,CHF,"{""pays_en_developpement_les_moins_avances"":""free"",""lesotho"":""free"",""chine_sans_hong_kong"":27,""moldova_republique_de"":27,""inde"":""free"",""etats_unis"":""free""}",[],,2012-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=02076041
03011100,030111,3,0301,d'eau douce,Süsswasserfische,di acqua dolce,freshwater,per 100 kg gross,1.6,par 100 kg brut,CHF,"{""efta"":""free"",""pays_et_territoires_en_developpement"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2012-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=03011100
03031900,030319,3,0303,autres,andere,altri,other,per 100 kg gross,2.4,par 100 kg brut,CHF,"{""efta"":""free"",""pays_et_territoires_en_developpement"":""free"",""union_douaniere_d_afrique_australe"":""free"",""conseil_de_cooperation_du_golfe"":""free"",""etats_d_amerique_centrale"":""free"",""turkiye"":""free"",""maroc"":""free"",""cisjordanie_et_bande_de_gaza"":""free"",""macedoine_du_nord"":""free"",""mexique"":""free"",""jordanie"":""free"",""chili"":""free"",""tunisie"":""free"",""liban"":""free"",""israel"":""free"",""egypte"":""free"",""canada"":""free"",""japon"":""free"",""colombie"":""free"",""serbie"":""free"",""albanie"":""free"",""ukraine"":""free"",""perou"":""free"",""montenegro"":""free"",""hong_kong"":""free"",""bosnie_herzegovine"":""free"",""chine_sans_hong_kong"":""free"",""philippines"":""free"",""georgie"":""free"",""equateur"":""free"",""indonesie"":""free"",""moldova_republique_de"":""free"",""inde"":""free"",""etats_unis"":""free"",""iles_feroe"":""free"",""singapour"":""free"",""coree_sud"":""free""}",[],,2012-01-01,https://xtares.admin.ch/tares/control/searchSimpleTarifNumber?number=03031900
